titles,artists,ids,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Twelfth Street Rag,Pee Wee Hunt,0Ec85AbUzt5SRDnsiBodml,0Ec85AbUzt5SRDnsiBodml,0.53,0.57,10,-7.942,1,0.0559,0.551,0.911,0.102,0.943,105.621,audio_features,0Ec85AbUzt5SRDnsiBodml,spotify:track:0Ec85AbUzt5SRDnsiBodml,https://api.spotify.com/v1/tracks/0Ec85AbUzt5SRDnsiBodml,https://api.spotify.com/v1/audio-analysis/0Ec85AbUzt5SRDnsiBodml,174027,4
Mañana (Is Soon Enough for Me),Peggy Lee,3baBjQISAznjkg8WwzipPM,3baBjQISAznjkg8WwzipPM,0.751,0.566,2,-13.624,0,0.102,0.36,0.0,0.272,0.935,122.282,audio_features,3baBjQISAznjkg8WwzipPM,spotify:track:3baBjQISAznjkg8WwzipPM,https://api.spotify.com/v1/tracks/3baBjQISAznjkg8WwzipPM,https://api.spotify.com/v1/audio-analysis/3baBjQISAznjkg8WwzipPM,178733,4
Now Is the Hour,Bing Crosby,5eKva6ek6QTxwtYAioGWqX,5eKva6ek6QTxwtYAioGWqX,0.193,0.0465,1,-21.226,1,0.0326,0.994,0.0427,0.0993,0.244,83.573,audio_features,5eKva6ek6QTxwtYAioGWqX,spotify:track:5eKva6ek6QTxwtYAioGWqX,https://api.spotify.com/v1/tracks/5eKva6ek6QTxwtYAioGWqX,https://api.spotify.com/v1/audio-analysis/5eKva6ek6QTxwtYAioGWqX,189293,3
A Tree in the Meadow,Margaret Whiting,1y4crDPPIzcTiOhBE5KRDJ,1y4crDPPIzcTiOhBE5KRDJ,0.303,0.0912,9,-14.795,1,0.0336,0.978,1.71e-05,0.0917,0.0822,88.313,audio_features,1y4crDPPIzcTiOhBE5KRDJ,spotify:track:1y4crDPPIzcTiOhBE5KRDJ,https://api.spotify.com/v1/tracks/1y4crDPPIzcTiOhBE5KRDJ,https://api.spotify.com/v1/audio-analysis/1y4crDPPIzcTiOhBE5KRDJ,160392,4
"You Can't Be True, Dear",Ken Griffin,13J3nj3RP6YjcG6bgFD9gj,13J3nj3RP6YjcG6bgFD9gj,0.239,0.293,0,-9.26,1,0.0346,0.806,0.955,0.378,0.44,104.71,audio_features,13J3nj3RP6YjcG6bgFD9gj,spotify:track:13J3nj3RP6YjcG6bgFD9gj,https://api.spotify.com/v1/tracks/13J3nj3RP6YjcG6bgFD9gj,https://api.spotify.com/v1/audio-analysis/13J3nj3RP6YjcG6bgFD9gj,157814,4
"You Can't Be True, Dear",Ken Griffin,13J3nj3RP6YjcG6bgFD9gj,13J3nj3RP6YjcG6bgFD9gj,0.239,0.293,0,-9.26,1,0.0346,0.806,0.955,0.378,0.44,104.71,audio_features,13J3nj3RP6YjcG6bgFD9gj,spotify:track:13J3nj3RP6YjcG6bgFD9gj,https://api.spotify.com/v1/tracks/13J3nj3RP6YjcG6bgFD9gj,https://api.spotify.com/v1/audio-analysis/13J3nj3RP6YjcG6bgFD9gj,157814,4
Little White Lies,Dick Haymes,7dY8rGcdOeo2RFj0OJbuJ9,7dY8rGcdOeo2RFj0OJbuJ9,0.498,0.0664,3,-17.743,1,0.0391,0.969,0.0828,0.118,0.165,114.416,audio_features,7dY8rGcdOeo2RFj0OJbuJ9,spotify:track:7dY8rGcdOeo2RFj0OJbuJ9,https://api.spotify.com/v1/tracks/7dY8rGcdOeo2RFj0OJbuJ9,https://api.spotify.com/v1/audio-analysis/7dY8rGcdOeo2RFj0OJbuJ9,155373,4
You Call Everybody Darlin',Al Trace,54hYO9rwrxMNTKE6jlKXrV,54hYO9rwrxMNTKE6jlKXrV,0.601,0.3,8,-11.951,1,0.0715,0.793,0.0,0.321,0.827,173.047,audio_features,54hYO9rwrxMNTKE6jlKXrV,spotify:track:54hYO9rwrxMNTKE6jlKXrV,https://api.spotify.com/v1/tracks/54hYO9rwrxMNTKE6jlKXrV,https://api.spotify.com/v1/audio-analysis/54hYO9rwrxMNTKE6jlKXrV,145493,4
My Happiness,The Pied Pipers,4HLYTkGtaXGcozWywPlBZP,4HLYTkGtaXGcozWywPlBZP,0.337,0.126,10,-11.277,1,0.0318,0.934,0.0,0.122,0.2,168.193,audio_features,4HLYTkGtaXGcozWywPlBZP,spotify:track:4HLYTkGtaXGcozWywPlBZP,https://api.spotify.com/v1/tracks/4HLYTkGtaXGcozWywPlBZP,https://api.spotify.com/v1/audio-analysis/4HLYTkGtaXGcozWywPlBZP,165461,4
I'm Looking Over a Four Leaf Clover,Art Mooney,66q8IX1czlTF7BUYZ7CNts,66q8IX1czlTF7BUYZ7CNts,0.659,0.479,1,-9.241,0,0.09,0.0799,0.00201,0.232,0.415,80.086,audio_features,66q8IX1czlTF7BUYZ7CNts,spotify:track:66q8IX1czlTF7BUYZ7CNts,https://api.spotify.com/v1/tracks/66q8IX1czlTF7BUYZ7CNts,https://api.spotify.com/v1/audio-analysis/66q8IX1czlTF7BUYZ7CNts,274533,4
It's Magic,Doris Day,0KCac2Oyqfi1kKyhrCJhPl,0KCac2Oyqfi1kKyhrCJhPl,0.332,0.0714,5,-15.69,1,0.0352,0.912,3.67e-05,0.129,0.149,81.374,audio_features,0KCac2Oyqfi1kKyhrCJhPl,spotify:track:0KCac2Oyqfi1kKyhrCJhPl,https://api.spotify.com/v1/tracks/0KCac2Oyqfi1kKyhrCJhPl,https://api.spotify.com/v1/audio-analysis/0KCac2Oyqfi1kKyhrCJhPl,208400,5
Maybe You'll Be There,Gordon Jenkins,7lrPlOCR3zXpXR9ZNHAOkX,7lrPlOCR3zXpXR9ZNHAOkX,0.814,0.791,3,-6.184,0,0.334,0.181,3.3e-05,0.247,0.527,127.986,audio_features,7lrPlOCR3zXpXR9ZNHAOkX,spotify:track:7lrPlOCR3zXpXR9ZNHAOkX,https://api.spotify.com/v1/tracks/7lrPlOCR3zXpXR9ZNHAOkX,https://api.spotify.com/v1/audio-analysis/7lrPlOCR3zXpXR9ZNHAOkX,126000,4
